key,zh-CN,zh-Hant,en-US,es,fr,it,ja,kr
games.gameConfig,Game Config,Game Config,Game Config,Game Config,Game Config,Game Config,Game Config,Game Config
games.gameConfigFailed,一键适配失败,一鍵適配失敗,One-click adaptation failed,Adaptación con un solo clic fallida,Adaptation en un clic échouée,Adattamento con un clic fallito,ワンクリック適合が失敗しました,원클릭 적응 실패
games.gameConfigSuccess,一键适配已完成,一鍵適配已完成,One-click adaptation completed,Adaptación con un solo clic completada,Adaptation en un clic terminée,Adattamento con un clic completato,ワンクリック適合が完了しました,원클릭 적응 완료
games.gameManager,游戏管理,遊戲管理,Game Manager,Administrador de juegos,Gestionnaire de jeu,Game Manager,ゲームマネージャー,게임 매니저
games.import,导入,導入,Import,Importar,Importer,Importa,輸入,가져오기
games.inGameConfig,游戏向导,遊戲推薦參數,Game Guide,Guía de configuración,Guide de jeu,Guida Impostazioni,ゲーム内設定,게임 가이드
games.install,安装,安裝,Install,Instalar,Installer,Installa,インストール,설치
games.installedGame,已安装的游戏,已安裝的遊戲,Installed Games,Juegos Instalados,Jeux installés,Giochi Installati,インストール済みゲーム,설치된 게임
games.learnAboutGameTelemetrySupport,您可以在这里了解游戏数据遥测的支持情况,您可以在這裡了解遊戲數據遙測的支援情況,Learn about game telemetry support,Más información sobre la compatibilidad con la telemetría de los juegos compatibles,En savoir plus sur la télémétrie du jeu,Informati sul supporto telemetria dei giochi,ゲームテレメトリサポートについて,게임 텔레메트리 지원에 대해 알아보기
games.pedalsPreset,踏板预设,踏板預設,Pedals Preset,Perfil Pedales,Préréglage pédale,Preset Pedali,ペダルのプリセット,페달 프리셋
games.presetBundle,设备预设集,設備預設集,Preset Bundle,Ajuste prestablecido,Ensemble de préréglages,Preset Bundle,プリセット バンドル,프리셋 번들
games.refreshGame,刷新游戏,刷新遊戲,Refresh,Actualizar,Rafraichir,Aggiorna,リフレッシュゲーム,새로고침
games.save,保存,保存,Save,Guardar,Enregistrer,Salva,保存,저장
games.saveAs,另存为,另存為,SaveAs,Guardar como,Enregistrer sous,Salva Come,名前を付けて保存,다른 이름으로 저장
games.start,启动,啟動,Play,Iniciar,Jouer,Gioca,始める,시작
games.supportGames,支持的游戏,支持的遊戲,Support Games,Juegos Compatibles,Jeux supportés,Giochi Supportati,サポートゲーム,지원 게임
games.telemetry.abs,刹车防抱死档位,剎車防抱死檔位,ABS,ABS,ABS,ABS,ABS,ABS
games.telemetry.bestLap,最快圈速,最快圈速,Best Lap,Mejor vuelta,Meilleur tour,Miglior Giro,ベストラップ,Best Lap
games.telemetry.brake,刹车行程,剎車行程,Brake,Freno,Frein,Freno,ブレーキ,Brake
games.telemetry.brakeTemp,刹车温度,剎車溫度,Brake Temperature,Temperatura del freno,Températeur des freins,Temperature Freni,ブレーキ温度,Brake Temperature
games.telemetry.calculated,计算值,計算值,Calculated,Calculado,Calculé,Calcolato,計算済み,계산됨
games.telemetry.clutch,离合行程,離合行程,Clutch,Embrague,Embrayage,Frizione,クラッチ,Clutch
games.telemetry.drs,DRS,DRS,DRS,DRS,DRS,DRS,DRS,DRS
games.telemetry.flag,旗语,旗語,Flag,Bandera,Drapeaux,Bandiera,旗幟,Flag
games.telemetry.fuel,燃油量,燃油量,Fuel,Gasolina,Essence,Carburante,燃料,Fuel
games.telemetry.gainLoss,当前圈速变化,當前圈速變化,Gain/Loss,Ganancia/Pérdida,Delta,Delta,利益/損失,Gain/Loss
games.telemetry.gear,档位,檔位,Gear,Marcha,Rapport,Marcia,ギヤ,Gear
games.telemetry.info.f1,如果使用遥测补丁后仍然没有遥测，请检查以下游戏内遥测设置:\n1.UDP遥测： 开启\n2.UDP广播： 关闭\n3.UDP地址：127.0.0.1\n4.UDP端口： 10888\n,如果使用遙測補丁後仍然沒有遙測，請檢查以下遊戲內遙測設定:\n1.UDP遙測：開啟\n2.UDP 埠： 10888 \n,"If telemetry still not active after Telemetry Patch, Please check following settings in Game/Options/Telemetry Settings :\n1.UDP Telemetry = ON\n2.UDP Broadcast = OFF\n3.UDP Address = 127.0.0.1\n4.UDP Port = 10888\n","Si la telemetría aún no está activa después del parche de telemetría, verifique las siguientes configuraciones en Juego/Opciones/Ajustes de Telemetría :\n1.UDP Telemetry = ON\n2.UDP Broadcast = OFF\n3.UDP Address = 127.0.0.1\n4.UDP Port = 10888\n","Si la télémétrie n'est toujours pas active après l'application du Telemetry Patch, veuillez vérifier les paramètres suivants dans la section Game/Options/Telemetry Settings :\n1.UDP Telemetry = ON\n2.UDP Broadcast = OFF\n3.UDP Address = 127.0.0.1\n4.UDP Port = 10888\n","Se la telemetria non si attiva automaticamente dopo la Patch, verifica che le tue impostazioni siano le seguenti in Game/Options/Telemetry Settings :\n1.UDP Telemetry = ON\n2.UDP Broadcast = OFF\n3.UDP Address = 127.0.0.1\n4.UDP Port = 10888\n",テレメトリーパッチを行ってもテレメトリーが有効でない場合は、ゲーム/オプション/テレメトリー設定で以下の設定をご確認ください :\n1.UDP Telemetry = ON\n2.UDP Broadcast = OFF\n3.UDP Address = 127.0.0.1\n4.UDP Port = 10888\n,텔레메트리 패치 후에도 텔레메트리가 활성화되지 않으면 다음 설정을 게임/옵션/텔레메트리 설정에서 확인해 주세요:\n1. UDP 텔레메트리 = ON\n2. UDP 브로드캐스트 = OFF\n3. UDP 주소 = 127.0.0.1\n4. UDP 포트 = 10888\n
games.telemetry.info.iracing,iRacing官方目前没有开放以下属性:\n1.TC触发状态\n2.行驶中的胎压\n3.行驶中的胎温,iRacing官方目前沒有開放以下屬性:\n1.TC觸發狀態\n2.行駛中的胎壓\n3.行駛中的胎溫,iRacing DOES NOT officially export following telemetry properties at this moment:\n1.Traction Control active status\n2.Running tyre pressure\n3.Running tyre tempreature,iRacing NO exporta oficialmente las siguientes propiedades de telemetría en este momento:\n1.Traction Control active status\n2.Running tyre pressure\n3.Running tyre tempreature,iRacing N'EXPORTE PAS officiellement les propriétés de télémétrie suivantes pour le moment:\n1.État actif du contrôle de traction\n2.Pression des pneus en course\n3.Température des pneus en course,iRacing al momento NON esporta ufficialmente le proprietà della telemetria seguenti:\n1.Traction Control active status\n2.Running tyre pressure\n3.Running tyre tempreature,現在のところ、iRacingは以下のテレメトリプロパティを公式にエクスポートしません:\n1.Traction Control active status\n2.Running tyre pressure\n3.Running tyre tempreature,iRacing은 현재 공식으로 다음의 텔레메트리 속성을 내보내지 않습니다:\n1. 트랙션 컨트롤 활성 상태\n2. 현재 타이어 압력\n3. 현재 타이어 온도
games.telemetry.info.lfs,请确认您LFS安装目录下的cfg.txt的属性和下面的列举对应:\nOutGauge Mode 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n,請確認您LFS安裝目錄下的cfg.txt的屬性和下面的列舉對應:\nOutGauge Mode 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n,"To enable LFS Telemetry, please confirm these config in your LFS cfg.txt(can be find in LFS installation folder) in as following:\nOutGauge Mode 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n","Para habilitar la telemetría LFS, confirme esta configuración en su LFS cfg.txt (se puede encontrar en la carpeta de instalación de LFS) de la siguiente manera:\nOutGauge Mode 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n","Pour activer la télémétrie LFS, veuillez vous assurez que ces lignes de configurations sont dans votre fichier cfg.txt LFS (disponible dans le dossier d'installation de LFS) comme suit :\nOutGauge Mode 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n",Per abilitare la telemetria su LFS assicurati di avere queste impostazioni nel tuo file LFS cfg.txt(lo trovi nella cartella di installazione LFS) nel percorso :\nOutGauge Mode 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n,LFSテレメトリーを有効にするには、LFSのインストールフォルダにあるLFSのcfg.txtの以下の設定を確認してください。 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n,LFS 텔레메트리를 활성화하려면 LFS 설치 폴더에서 찾을 수 있는 LFS cfg.txt에서 다음과 같이 설정을 확인해 주세요:\nOutGauge Mode 1\nOutGauge Delay 1\nOutGauge IP 127.0.0.1\nOutGauge Port 10888\nOutGauge ID 0\n
games.telemetry.info.rbr,请确认RSF Launcher中Telemetry选项卡的UDP端口为6776以正常使用遥测。,請確認RSF Launcher中Telemetry選項卡的UDP連接埠為6776以正常使用遙測。,"To enable RBR Telemetry, please confirm your Telemetry Port in RSF Launcher is 6776.","Para habilitar la telemetría RBR, confirme que su puerto de telemetría en RSF Launcher es 6776.","Pour activer la télémétrie RBR, veuillez confirmer que votre port de télémétrie dans RSF Launcher est 6776..",Per abilitare la telemetria su RBR assicurati che la Telemetry Port nel RSF Launcher sia 6776.,RBRテレメトリーを有効にするには、RSFランチャーのテレメトリーポートが6776であることを確認してください。,RBR Telemetry를 활성화하려면 RSF 런처에서 텔레메트리 포트를 6776로 확인해 주세요.
games.telemetry.lapNum,圈数,圈數,Lap Num,Vuelta Número,Tour Num,Giro,ラップナンバー,Lap Num
games.telemetry.lastLap,上一圈速,上一圈速,Last Lap,Última vuelta,Dernier tour,Ultimo Giro,最終ラップ,Last Lap
games.telemetry.map,发动机动力档位(Map),發動機動力檔位(Map),Engine Map,Mapa Motor,Map Moteur,Mappa Motore,エンジンマップ,Engine Map
games.telemetry.noData,暂无遥测,暫無遙測,No telemetry available,No hay telemetría disponible,Aucune télémétrie disponible,Nessuna telemetria disponibile,遠隔測定なし,텔레메트리 없음
games.telemetry.notworking,不支持,不支持,Not Working,Fuera de servicio,Ne fonctionne pas,Non Compatibile,動作しない,작동 중지
games.telemetry.oilTemp,油温,油溫,Oil Temperature,Temperatura del aceite,Température d'huile,Temperatura Olio,油温,Oil Temperature
games.telemetry.partial,部分支持,部分支援,Partially Work,Parcialmente funcionando,Fonctionne partiellement,Parzialmente Funzionante,部分的に働く,일부 작동
games.telemetry.pit,维修区限速,維修區限速,Pit Limiter,Limitador de Boxes,Pit Limiter,Limitatore Pit,ピットリミッター,Pit Limiter
games.telemetry.position,车手排名,車手排名,Position,Posición,Position,Posizione,位置,Position
games.telemetry.rpm,转速,轉速,RPM,Revoluciones por Minuto,Tours/min,RPM,RPM,RPM
games.telemetry.runningLap,当前圈速,當前圈速,Running Lap,Vuelta Actual,Tour en cours,Giro Corrente,ランニングラップ,Running Lap
games.telemetry.speed,车速,車速,Speed,Velocidad,Vitesse,Velocità,スピード,Speed
games.telemetry.tc,牵引力控制档位,牽引力控制檔位,TC,TC,TC,TC,TC,TC
games.telemetry.throttle,油门行程,油門行程,Throttle,Acelerador,Accelerateur,Acceleratore,スロットル,Throttle
games.telemetry.tirePressure,轮胎气压,輪胎氣壓,Tire Pressure,Presión neumáticos,Pression des pneus,Pressioni Gomme,タイヤ空気圧,Tire Pressure
games.telemetry.tireTemp,轮胎温度,輪胎溫度,Tire Temperature,Temperatura neumáticos,Température des pneus,Temperatura Gomme,タイヤ温度,Tire Temperature
games.telemetry.tireWear,轮胎磨损度,輪胎磨損度,Tire Wear,Desgaste de neumáticos,Usure des pneus,Consumo Gomme,タイヤの摩耗,Tire Wear
games.telemetry.turbo,涡轮压力,渦輪壓力,Turbo,Turbo,Turbo,Turbo,ターボ,Turbo
games.telemetry.udp.configTitle,UDP遥测配置,UDP遙測配置,UDP Telemetry Config,Configuración de telemetría UDP,Configuration de la télémétrie UDP,UDP Telemetry Config,UDPテレメトリ設定,UDP 텔레메트리 설정
games.telemetry.udp.enableForward,启用转发,啟用轉送,Enable Forward,Habilitar reenvio,Activer le transfert,Enable Forward,フォワードの有効化,전송 활성화
games.telemetry.udp.forwardPort,UDP转发端口,UDP轉送埠,UDP Forward Port,Puerto directo UDP,Port de transfert UDP,UDP Forward Port,UDPフォワードポート,UDP 전송 포트
games.telemetry.udp.listenPort,UDP监听端口,UDP監聽埠,UDP Listen Port,Puerto de escucha UDP,Porte UDP d'écoute,UDP Listen Port,UDP リスンポート,UDP 수신 포트
games.telemetry.undefined,,,,,,,,
games.telemetry.waterTemp,水温,水溫,Water Temperature,Temperatura del Agua,Température d'eau,Temperatura Acqua,水温,Water Temperature
games.telemetry.working,支持,支持,Working,Funcionando,Fonctionne,Compatibile,働く,작동 중
games.telemetryHelperFailed,遥测启用失败,,,,,,,
games.telemetryHelperSuccess,遥测启用成功,,,,,,,
games.telemetryRefresh,遥测启用,遙測啓用,Telemetry Patch,Enlace Telemetría,Patch de télémétrie,Configura Telemetria,テレメトリーパッチ,텔레메트리 패치
games.telemetryRefreshEnabled,遥测已启用,遙測已啓用,Telemetry is enabled,Telemetría está habilitada,La télémétrie est activée,Servizi telematici,テレメトリは有効になりました,원격 측정이 활성화되었습니다
games.telemetrySupport,遥测支持,遙測支持,Telemetry Support,Soporte de telemetría,Prise en charge de la télémétrie,Supporto Telemetria,テレメトリサポート,텔레메트리 지원
games.theFollowingTestedGameSettingsAreRecommendedForABetterDrivingExperience,我们推荐您使用此游戏设置以获得更好的体验（双击可放大向导图）,我們推薦您使用此遊戲設定以獲得更好的體驗（按兩下可放大精靈圖）,The following tested game settings are recommended for a better driving experience(Double-click to zoom in on the guide image),Se recomiendan las siguientes configuraciones de juego probadas para una mejor experiencia de conducción(Haga doble clic para ampliar la imagen de la guía),Les paramètres suivants du jeu sont recommandés pour une meilleure expérience de conduite(Double-cliquez pour zoomer sur l’image du guide),Le seguenti impostazioni dei giochi sono consigliati per un’esperienza di guida migliore(Fare doppio clic per ingrandire l'immagine guida),より良いドライビング体験のために、以下のゲーム設定を推奨します（ダブルクリックして下絵にズームインします）,다음의 테스트된 게임 설정은 더 나은 주행 경험을 위해 권장됩니다（가이드 이미지를 두 번 클릭하여 확대합니다）
games.title,游戏,遊戲,Games,Juegos,Jeux,Giochi,ゲーム,게임
games.wheelPreset,盘体预设,槃體預設,Wheel Preset,Perfil Volante,Préréglage volant,Preset Volante,ステアリングホイールプリセット,휠 프리셋
globalUpdateDialog.cancel,取消,取消,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소
globalUpdateDialog.downloadFinished,下载完成,下載完成,Download Finished,Descarga finalizada,Téléchargement terminé,Download Terminato,ダウンロード完了,다운로드 완료
globalUpdateDialog.downloading,正在下载,正在下載,Downloading,Descargando,Téléchargement,Downloading,ダウンロード中,다운로드 중
globalUpdateDialog.hide,隐藏,隱藏,Hide,Ocultar,Cacher,Nascondi,非表示,숨기기
globalUpdateDialog.newVersionFound,发现新版本,發現新版本,New Version Found,Nueva versión encontrada,Nouvelle version trouvée,Nuova Versione Trovata,新しいバージョンが検出されました,새 버전 발견
globalUpdateDialog.patchNotes,更新日志,更新日誌,PatchNotes,Notas del parche,Notes de mise à jour,Novità,パッチノート,패치 노트
globalUpdateDialog.reboot,重启,重啟,Restart App,Reiniciar aplicación,Redémarrer l'application,Riavvia App,アプリを再起動します,앱 재시작
globalUpdateDialog.releasedAt,发布于,發佈於,Released At,Publicado en,Sorti le,Rilasciato Il,でリリース,출시 날짜
globalUpdateDialog.update,更新,更新,Update,Actualizar,Mettre à jour,Aggiorna,アップデート,업데이트
home.base,基座,基座,Base,Base,Base moteur,Base,ベース,베이스
home.baseLowFirmware,新固件可用,新韌體可用,NEW FIRMWARE,NUEVO FIRMWARE,NOUVEAU MICROLOGICIEL,NUOVO FIRMWARE,新しいファームウェア,최신 펌웨어
home.center,对中,對中,Center,Centro,Centrer,Centratura,中心,센터
home.handbrake,手刹,手剎,Handbrake,Freno de Mano,Frein à main,Freno a Mano,ハンドブレーキ,핸드브레이크
home.pedals,踏板,踏板,Pedals,Pedales,Pédalier,Pedali,ペダル,페달
home.playNow,马上游玩,馬上游玩,Play Now,Jugando ahora,Jouer maintenant,Gioca Adesso,今すぐプレイ,지금 게임 실행하기
home.playing,正在游玩,正在遊玩,Playing,Jugando,Jouer,In Gioco,遊んでいる,게임 실행중
home.presetsInUse,启用的预设,啟用的預設,Presets In Use,Presets In Use,Profil utilisé,Presets In Uso,使用中のプリセット,사용중인 프리셋
home.quickView,设备速览,設備速覽,Quick View,Vista rápida,Vue rapide,Visualizzazione Rapida,クイックビュー,퀵 뷰
home.shifter,排档,排档,Shifter,Cambio de Marchas,Levier de vitesse,Cambio,シフター,쉬프터
home.title,首页,首頁,Home,Inicio,Accueil,Home,ホームページ,홈
home.totalForce,力反馈大小,力反饋大小,Total Force,Fuerza total,Force Total,Forza Globale,全体の力,전체 힘
home.update,升级,升級,Update,Actualización,Mettre à jour,Aggiorna,アップデート,업데이트
home.wheel,方向盘,方向盤,Wheel,Volantes,Volant,Volante,ステアリングホイール,스티어링 휠
home.wheelAngle,方向盘角度,方向盤角度,Wheel Angle,Angulo del Volante,Angle volant,Angolo Sterzo,ハンドルの角度,스티어링 휠 앵글
input.inputPresetNameTip,请输入个人预设名称,請輸入個人預設名稱,Please enter a PersonalPreset name,"Por favor, introduzca un nombre preestablecido personal",Veuillez entrer un nom de préréglage personnel,Per favore digitare il nome personale predeterminato,個人のプリセット名称を入力してください,개인 기본 이름을 입력하십시오
input.placeholder,请输入15字符以内的预设名称,請輸入15字符以內的預設名稱,Please enter a preset name within 15 characters,Introduzca un nombre de preset de hasta 15 caracteres,Veuillez entrer un nom de préréglage de 15 caractères maximum,Inserisci un nome preset di massimo 15 caratteri,15文字以内のプリセット名を入力してください,15자 이내의 프리셋 이름을 입력하세요
label.focusAreaColor,,,Set the focus area color,Configurar el color del área de enfoque,,,,
label.followColor,跟随颜色,跟隨顏色,Follow the color,Sigue el color,Suivre la couleur,Segui colore,色を追従,색상 따라가기
label.lightColor,灯光颜色,燈光顏色,Light Color,Luces y colores,Couleur de la lumière,Colore della luce,ライトカラー,조명 색상
label.lightEffectMode,灯光效果,燈光效果,Lighting Effect,Efectos de luz,Effets de lumière,Effetti dell’illuminazione,照明効果です,조명 효과
label.modeBreath,呼吸,呼吸,Breath,Respiración,Respiration,Respiro,呼吸,호흡
label.modeFollow,跟随,跟隨,Follow,Seguir,Suivre,Seguire,フォロー,따르다
label.modeSingle,单色,單色,Single,Único,Unique,Singolo,単色,단색
label.modeWater,流水,流水,water,Flujo,Flux,Flusso,流水,흐름
label.rotate,请转动,請轉動,Please rotate,"Por favor, gire",Veuillez tourner,Per favore ruota,回転してください,회전해 주세요
label.selectScene,请选择应用场景,請選擇應用場景,Please Select Application Scenario,Por favor seleccione un escenario de aplicación,Veuillez sélectionner le scénario d'application,Per favore seleziona lo scenario applicativo,アプリケーションシナリオを選択してください,적용 시나리오를 선택해 주세요
label.speedFast,快,快,Fast,Rápido,Rapide,Veloce,速い,빠름
label.speedNormal,正常,正常,Normal,Normal,Normal,Normale,通常,정상
label.speedSlow,慢,慢,Slow,Lento,Lent,Lento,遅い,느림
label.speedVeryFast,非常快,非常快,Very Fast,Muy rápido,Très rapide,Molto veloce,非常に速い,매우 빠름
label.speedVerySlow,非常慢,非常慢,Very Slow,Muy lento,Très lent,Molto lento,とても遅いです,매우 느립니다.
label.stepOn,请踩下,請踩下,Please press down,"Por favor, pisa",Veuillez appuyer,"Per favore, premi",踏んでください,밟아 주세요
login.ThankYouForUsingTheSimagicProduct,感谢您使用速魔产品,感謝您使用速魔產品,Thank you for chosing SIMAGIC,Gracias por elegir SIMAGIC,Merci d'avoir choisi SIMAGIC,Grazie per aver scelto SIMAGIC,Simagic 製品をご利用いただきありがとうございます,Simagic 제품을 사용해 주셔서 감사합니다.
login.WeHaveSentASixDigitVerificationCodeToYourEmail,我们已将一个六位验证码发到您的邮箱中,我們已將一個六位驗證碼發到您的郵箱中,We have sent a six digit verification code to your email.,Hemos enviado un código de verificación de seis dígitos a su email.,Nous avons envoyé un code de vérification à six chiffres à votre adresse Email..,Abbiamo inviato un codice di verifica di sei cifre al tuo indirizzo email.,6 桁の確認コードをメールで送信しました。,우리는 여섯 자리 인증 코드를 당신의 이메일로 보냈습니다.
login.YourSimagicAccountHasBeenActivated,您的速魔账号已激活,您的速魔賬號已激活,Your SIMAGIC account is activated.,Tu cuenta SIMAGIC ha sido activada.,Votre compte SIMAGIC est activé.,Il tuo account SIMAGIC è stato attivato.,あなたの Simagic アカウントが有効化されました。,Simagic 계정이 활성화되었습니다.
login.backToLogin,返回登录,返回登錄,Back To Login,Volver a iniciar sesión,Revenir à l'identification,Torna al Login,ログインに戻る,로그인으로 돌아가기
login.confirm,确认,确认,confirm,Confirmar,Confirmer,Conferma,確認,확인
login.confirmPassword,再次确认密码,再次確認密碼,Confirm Password,Confirmar contraseña,Confirmer votre mot de passe,Conferma Password,確認,비밀번호 확인
login.createAnAccount,注册,註冊,Sign Up,Registrarse,Créer un compte,Registrati,Simagicアカウントを作成する,가입하기
login.email,邮箱,郵箱,Email,Email,Email,Email,メールアドレス,이메일
login.enterPassword,请输入密码,請輸入密碼,Enter password,Introducir la contraseña,Mot de passe,Inserisci Password,パスワードを入力してください,비밀번호 입력
login.enterPasswordAgain,请再次输入密码,請再次輸入密碼,Enter password again,Introduzca de nuevo la contraseña,"Mot de passe, vérification",Inserisci di nuovo la Password,もう一度パスワードを入力してください,비밀번호를 다시 입력하세요
login.enterVaildEmail,请输入正确的邮箱,請輸入正確的郵箱,Email invalid,Email no válido,Email invalide,Email non valida,無効なメールアドレス,유효한 이메일을 입력하세요
login.forgotPassword,忘记密码,忘記密碼,Forgot Password,Contraseña Olvidada,Mot de passe oublié,Password Dimenticata,パスワードをお忘れの場合,비밀번호를 잊으셨나요?
login.goHomePage,回到首页,回到首頁,Finish,Finalizar,Terminé,Torna alla Home,ホームページに行く,완료
login.inputEmail,请输入邮箱,請輸入郵箱,Email required,Email obligatorio,Email obligatoire,Email richiesta,メールアドレスが必須です,이메일 필수
login.logOut,登出,登出,Log Out,Cerrar sesión,Déconnexion,Log Out,ログアウト,로그아웃
login.newPassword,新密码,新密码,New Password,Nueva contraseña,Nouveau mot de passe,Nuova Password,新しいパスワード,새 비밀번호
login.newPasswordHasBeenSentToYourEmailPleaseCheckItInTime,您的新密码已发送至您的邮箱，请及时查收,您的新密碼已發送至您的郵箱，請及時查收,"New password has been sent to your Email, please check it in time","Se ha enviado una nueva contraseña a su email, compruebe si la ha recibido","Nouveau mot de passe envoyé à votre email, veuillez le vérifier à temps.","La nuova password è stata inviata alla tua Email, cortesemente controlla la tua casella di posta elettronica.",新しいパスワードがEメールアドレスに送信されました,새로운 비밀번호가 이메일로 전송되었습니다. 제때 확인해 주세요.
login.nickname,用户名,用戶名,Nickname,Alias,Pseudo,Nickname,ニックネーム,닉네임
login.oldPassword,旧密码,旧密码,Old Password,Contraseña anterior,Ancien mot de passe,Vecchia Password,古いパスワード,이전 비밀번호
login.password,密码,密碼,Password,Contraseña,Mot de passe,Password,パスワード,비밀번호
login.passwordResetSuccessful,密码重置成功,密码重置成功,Password Reset Successfully,Restablecimiento de contraseña exitoso,Réinitialisation du mot de passe avec succès,Reimpostazione della password riuscita,パスワードが正常にリセットされました,비밀번호 재설정 성공
login.resetPassword,重置密码,重新設密碼,Reset Password,Restablecer la contraseña,Réinitialiser le mot de passe,Resetta la password,パスワードを再設定する,암호를 재설정
login.signIn,登录,登錄,Sign In,Iniciar sesión,S'identifier,Accedi,登入,로그인
login.submitRegister,注册,註冊,Submit,Enviar,Envoyer,Invia,登録,제출
login.theTwoEnteredPasswordsDoNotMatch,两次输入的密码不一致,兩次輸入的密碼不一致,The two entered passwords do not match,Las contraseñas no coinciden,Les deux mots de passe saisis ne correspondent pas,Le due Password non combaciano,入力された2つのパスワードが一致しません,입력한 두 비밀번호가 일치하지 않습니다
login.useBetween10And64CharactersWithAMixOfUppercaseLowercaseNumbersAndSymbols,"请输入10-64个字符,包含大小写字母和数字","請輸入10-64個字符,包含大小寫字母和數字","Use between 10 and 64 characters with a mix of uppercase, lowercase, numbers & symbols","Utilice entre 10 y 64 caracteres con una combinación de mayúsculas, minúsculas, números y símbolos","Utilisez entre 10 et 64 caractères avec un mélange de majuscules, minuscules, chiffres et symboles","Digita tra 10 e 64 caratteri, usando un mix di maiuscole, minuscole, numeri e simboli",大文字、小文字、数字、記号を組み合わせて、10文字から64文字の範囲でパスワードを設定してください,"대문자, 소문자, 숫자 및 기호를 혼합하여 10자 이상 64자 이하로 사용하세요"
login.verify,验证,驗證,Verify,Comprobar,Vérifier,Verifica,確認,확인
login.verifyEmail,验证电子邮箱,驗證電子郵箱,Verify email,Comprobar email,Vérifier l'email,Verifica email,メールアドレスの確認,이메일 확인
login.youCanUseChineseEnglishNumbersAndUnderscoreBetween4And48Characters,"请输入4-48个字符,支持中英文、数字、下划线","請輸入4-48個字符,支持中英文、數字、下劃線",4 and 48 characters,4 y 48 caracteres,4 et 48 caractères,4 e 48 caratteri,4文字と48文字,"4자 이상 48자 이하의 중국어, 영어, 숫자 및 언더스코어를 사용할 수 있습니다"
message.deleteFailed,删除失败,刪除失敗,Delete Failed,Error al eliminar,Échec de la suppression,Cancellazione fallita,削除に失敗しました,삭제 실패
message.deleteFailedDesc,当前预设无法删除,當前預設無法刪除,The current preset cannot be deleted,No se puede eliminar el preset actual,Le préréglage actuel ne peut pas être supprimé,Il preset attuale non può essere eliminato,現在のプリセットは削除できません,현재 프리셋을 삭제할 수 없습니다
message.deleteSuccess,删除成功,删除成功,Delete Successful,Eliminación exitosa,Suppression réussie,Cancellazione riuscita,削除成功,삭제 성공
message.deleteSuccessDesc,当前预设已成功删除,當前預設已成功刪除,The current preset has been successfully deleted,El preset actual ha sido eliminado con éxito,Le préréglage actuel a été supprimé avec succès,Il preset attuale è stato eliminato con successo,現在のプリセットは正常に削除されました,현재 프리셋이 성공적으로 삭제되었습니다
message.exportFailed,导出失败,,,,,,,
message.exportSuccess,导出成功,,,,,,,
message.importFailed,导入失败,,,,,,,
message.importSuccess,导入成功,,,,,,,
message.operationFailed,操作失败,操作失敗,Operation Failed,Fallo en la operación,Échec de l'opération,Operazione fallita,操作失敗,작업 실패
message.operationSuccessful,操作成功,操作成功,Operation Successful,Operación exitosa,Opération réussie,Operazione riuscita,操作成功,작업 성공
message.revertFailed,恢复失败,恢復失敗,Revert Failed,Error al restaurar,Échec de la restauration,Ripristino fallito,復元に失敗しました,복원 실패
message.revertFailedDesc,无法恢复为默认预设,無法恢復為默認預設,Failed to revert to the default preset,No se puede restaurar el preset predeterminado,Impossible de revenir au préréglage par défaut,Impossibile ripristinare il preset predefinito,デフォルトプリセットに復元できません,기본 프리셋으로 복원할 수 없습니다
message.revertSuccess,恢复成功,恢復成功,Revert Successful,Restauración exitosa,Restauration réussie,Ripristino riuscito,復元成功,복원 성공
message.revertSuccessDesc,成功恢复为默认预设,成功恢復為默認預設,Successfully reverted to the default preset,Restaurado exitosamente al preset predeterminado,Restauration réussie au préréglage par défaut,Ripristinato con successo al preset predefinito,デフォルトプリセットに正常に復元されました,기본 프리셋으로 성공적으로 복원되었습니다
message.saveFailed,保存失败,保存失敗,Save Failed,Error al guardar,Échec de la sauvegarde,Salvataggio fallito,保存に失敗しました,저장 실패
message.saveFailedDesc,当前预设无法保存,當前預設無法保存,The current preset cannot be saved,No se puede guardar el preset actual,Le préréglage actuel ne peut pas être enregistré,L'attuale preset non può essere salvato,現在のプリセットは保存できません,현재 프리셋을 저장할 수 없습니다
message.saveSuccess,保存成功,保存成功,Save Successful,Guardado exitoso,Sauvegarde réussie,Salvataggio riuscito,保存に成功しました,저장 성공
